url,post,likes,comments,date
https://www.facebook.com/photo.php?fbid=1584335228250207&set=a.583444795005927.164162.100000212343014&type=3,"Wow. My life written on one page :o",1,0,"19 января 2017 г. в 21:30"
https://www.facebook.com/natasha.petrova.50/posts/1579566695393727?spotlight=1,"If anybody knows somebody that has a single for rent, let me know please.",1,0,"15 января 2017 г. в 0:22"
https://www.facebook.com/natasha.petrova.50/posts/1499417733408624,"Donald duck is gona destroy this world...and cause chaos.. i can already imagine Americas future...",3,4,"9 ноября 2016 г. в 10:52"
https://www.facebook.com/natasha.petrova.50/posts/1348644261819306,"Checkpoint on santa monica blvd and wilton , be safe everybody (:",4,0,"28 мая 2016 г. в 6:58"
https://www.facebook.com/photo.php?fbid=1314431225240610&set=a.583444795005927.164162.100000212343014&type=3,"What a great school i go to. Every week I get an email that there is a robbery, break in, harassed...",3,0,"9 апреля 2016 г. в 6:26"
https://www.facebook.com/natasha.petrova.50/posts/1299142010102865,"Brought my car for some noises ive been hearing for a few weeks from the exhaust and my right tire . Even made sure to confirm wit a few people to make sure im not just going crazy and just hearing noises. i get here and guess what?! Car decides to be shy and the BMW mechanic looks at me as if im crazy when we take a drive around the block and the car decides to act like an angel and quiet all the noises  -_- UGHHHHH",3,0,"24 марта 2016 г. в 18:26"
https://www.facebook.com/photo.php?fbid=1293762713974128&set=a.583444795005927.164162.100000212343014&type=3,"Damn you BMW , 2nd tire this month -_- Run flat tires are unbelievable. 8000 miles on the car and already about to replace my 2nd tire-_- Btw i dont know if its visible but look at that bubble on the lower right...",4,8,"20 марта 2016 г. в 3:05"
https://www.facebook.com/natasha.petrova.50/posts/1287100891306977,"Life is much better when it is just my cats And me. Once I let a person into my life, life gets worse. Sorry if anybody has been calling /texting me but I have my 2 favorites i get to see everyday and i dont want anybody else (:",6,0,"12 марта 2016 г. в 5:51"
https://www.facebook.com/natasha.petrova.50/posts/1258373457513054,"Checkpoint on Melrose and Fairfax for all you drunk people (:",4,1,"30 января 2016 г. в 10:20"
https://www.facebook.com/natasha.petrova.50/posts/1257625517587848,"Insanity is everyone expecting you not to fall apart when you find out everything you believed in was a lie.",2,1,"29 января 2016 г. в 6:13"
https://www.facebook.com/photo.php?fbid=1219864658030601&set=p.1219864658030601&type=3,"My new baby <3",27,12,"28 ноября 2015 г. в 5:04"
https://www.facebook.com/natasha.petrova.50/posts/1218361264847607,"Just fucking wonderful, first the belt, now my transmission failed on me, and who knows what else failed in this damn car -__-",2,1,"25 ноября 2015 г. в 3:48"
https://www.facebook.com/natasha.petrova.50/posts/1208383515845382,"Free crunch wrap at taco bell today until 11AM!!",2,0,"5 ноября 2015 г. в 19:54"
https://www.facebook.com/natasha.petrova.50/posts/1204120089605058,"Anybody want a 2 month old kitten for free?",0,0,"28 октября 2015 г. в 4:08"
https://www.facebook.com/photo.php?fbid=1193837473966653&set=p.1193837473966653&type=3,"My baby, shes my one and only , always by my side♥ who needs a boyfriend when i have cinderella to wake up to (:",7,0,"7 октября 2015 г. в 19:06"
https://www.facebook.com/natasha.petrova.50/posts/1185064584843942,"What a sick sick world we live in. Most people are careless and heartless with no clue on what love means. Addictions take over people and they hurt the people they love, so blinded by their addiction that the day they step back to reality, they have lost everything. Everybody blames everyday. People that have so much given to them for FREE do not appreciate it. The more good you do for someone, the more trust you have for them, the more people take advantage of it and I give up on giving one shit about people. 22 years of living and seeing the world as a fucked up world that is getting worse day by day. Growing up I thought that when Im 21 Ill go clubbing, have the time of my life, this that but its the complete opposite. All I have on my mind is money and it is my fault for helping out people that needed it but have no intention to return it, leaving me with all the debt for helping them out. Ive never been so done with everyones bullshit to force myself to be heartless too. People want nothing but misery for one another and I feel really really bad for people that throw away their life with excuses when opportunities to benefit themselves. People say that I just talk to the wrong people but until proven, I will always believe that the world is a cruel, cold, and heartless place that I need to distant myself from. Whoever read this, thank you. I just had to rant about it because my cat seems to just want to sleep and not listen [:",6,1,"20 сентября 2015 г. в 3:42"
https://www.facebook.com/natasha.petrova.50/posts/1183857481631319,"I never felt so scared in my own home. Bed bugs are trying to kill and me and fleas and ticks are trying to kill my cat. Where they came from, I have no damn idea but all 3 took over me and the house and they seem to want to call these place home forever. My poor cat runs to me when Im leaving the house so I can take her with me ]: Cant eat or sleep in my own house or I get attacked, Slow process but cant wait for these motherfuckers to try to get on the bed tonight and suffocate until they day then they will know not to mess with me [:",3,5,"18 сентября 2015 г. в 2:10"
https://www.facebook.com/natasha.petrova.50/posts/1177764202240647,"Verizon is ridiculous. One full day without internet because of an outage all over America and yet these idiots on the other line are trying to send a technician to my house to fix it, what morons.",5,1,"9 сентября 2015 г. в 6:45"
https://www.facebook.com/natasha.petrova.50/posts/1171174419566292,"With all the people around me, i never felt so alone and lost",3,0,"28 августа 2015 г. в 17:43"
https://www.facebook.com/photo.php?fbid=1148883438462057&set=p.1148883438462057&type=3,"Being silly :p",18,14,"23 июля 2015 г. в 2:00"
https://www.facebook.com/photo.php?fbid=1148776988472702&set=p.1148776988472702&type=3,Photo/Repost,11,1,"22 июля 2015 г. в 21:24"
https://www.facebook.com/natasha.petrova.50/posts/1146064812077253,"Thank you thunder for waking me up from a great dream i was in -_-",12,0,"18 июля 2015 г. в 19:32"
https://www.facebook.com/natasha.petrova.50/posts/1132600443423690,"text me, new phone.",1,1,"26 июня 2015 г. в 7:32"
https://www.facebook.com/natasha.petrova.50/posts/1132328510117550,"anybody know if GCC admissions is open?",0,1,"25 июня 2015 г. в 21:15"
https://www.facebook.com/natasha.petrova.50/posts/1116297178387350,Photo/Repost,2,0,"4 июня 2015 г. в 13:10"
https://www.facebook.com/natasha.petrova.50/posts/1085477431469325,<3,0,1,"13 апреля 2015 г. в 4:16"
https://www.facebook.com/natasha.petrova.50/posts/1079420675408334,"got accepted to csun yay [: bye bye gcc [[[:",21,5,"3 апреля 2015 г. в 22:29"
https://www.facebook.com/natasha.petrova.50/posts/1069950303022038,"Its a whole different world being single, takes some getting used to coming from a relationship. But I actually like this!",5,4,"20 марта 2015 г. в 0:43"
https://www.facebook.com/natasha.petrova.50/posts/1044485242235211,<3,1,0,"6 февраля 2015 г. в 20:23"
https://www.facebook.com/natasha.petrova.50/posts/1004552552895147,"Its sad seeing how drugs ruin people and theyre so high on drugs that they dont realize how fed up their own life really is..",9,1,"11 декабря 2014 г. в 10:35"
https://www.facebook.com/natasha.petrova.50/posts/995684360448633,"Walk into the bathroom and see a huge spider on the wall. Only thing that sucks about living by myself is theres nobody to kill my bugs!",3,3,"26 ноября 2014 г. в 7:42"
https://www.facebook.com/photo.php?fbid=979913435359059&set=a.156142961069448.45441.100000212343014&type=3,Photo/Repost,13,8,"31 октября 2014 г. в 20:32"
https://www.facebook.com/natasha.petrova.50/posts/978960955454307,"Got my wisdom teeth out today and all im worried about is how long i can go without hookah ]:",10,8,"30 октября 2014 г. в 4:12"
https://www.facebook.com/natasha.petrova.50/posts/960614953955574,"Sometimes it really sucks being single :/",7,0,"2 октября 2014 г. в 7:02"
https://www.facebook.com/natasha.petrova.50/posts/956612597689143,"someone know a good place that installs exhaust?",4,4,"26 сентября 2014 г. в 3:01"
https://www.facebook.com/natasha.petrova.50/posts/950020451681691,"Well at least I got some great news today, got another job thats full-time [: 2 jobs and school going to keep me busy.",9,6,"16 сентября 2014 г. в 2:21"
https://www.facebook.com/natasha.petrova.50/posts/949331511750585,"A 21 year old girl shouldnt have this much stress on her shoulders. I feel like a damn 60 year old lady.",10,0,"15 сентября 2014 г. в 6:48"
https://www.facebook.com/natasha.petrova.50/posts/931371140213289,"Stopped and got a ticket for loud music when i could barely hear my own music, what a beautiful city glendale is hiring some liars to work for them -_-",5,3,"16 августа 2014 г. в 20:14"
https://www.facebook.com/photo.php?fbid=931165256900544&set=a.583444795005927.164162.100000212343014&type=3,"Bringing this cute cinderella home tomorrow <3",12,0,"16 августа 2014 г. в 12:37"
https://www.facebook.com/natasha.petrova.50/posts/908448512505552,"thinking of getting full bangs again, yes? no? help?",7,0,"8 июля 2014 г. в 22:34"
https://www.facebook.com/natasha.petrova.50/posts/887442127939524,"theres only so much shit a person can take from somebody till one day they wake up and realize they deserve much better and today was the day i opened my eyes :)",7,0,"6 июня 2014 г. в 4:42"
https://www.facebook.com/natasha.petrova.50/posts/883351648348572,"Im so glad i have my friends, if it wasnt for them i would never know the true feeling of a family",9,0,"30 мая 2014 г. в 20:44"
https://www.facebook.com/natasha.petrova.50/posts/880686961948374,"Anybody know where i can go for one headshot photo?",0,0,"26 мая 2014 г. в 19:11"
https://www.facebook.com/natasha.petrova.50/posts/877678775582526,"bored, someone entertain meeee",3,16,"21 мая 2014 г. в 21:19"
https://www.facebook.com/natasha.petrova.50/posts/870859802931090,"On to the next one baby",3,0,"11 мая 2014 г. в 9:48"
https://www.facebook.com/natasha.petrova.50/posts/870854266264977,"Lets get this night started (;",0,0,"11 мая 2014 г. в 9:30"
https://www.facebook.com/photo.php?fbid=870624919621245&set=a.156142961069448.45441.100000212343014&type=3,Photo/Repost,22,13,"11 мая 2014 г. в 2:12"
https://www.facebook.com/natasha.petrova.50/posts/870067006343703,"old enough to go to a bar to drink for the night, what else can i ask for? :))) i have a feeling tonite is gonna be a great night (;",11,0,"10 мая 2014 г. в 4:33"
